alpha,FPR,TPR,FDR,NPrecision,NRecall,diffnetfinder_sec,run,dim,NTP,NTN,NFP,NFN,NTPR,NFPR,NACC
0.2,0.00025138260432378077,1.0,0.3333333333333333,0.6666666666666666,1.0,43.939808499999344,4,200,10.0,19885.0,5.0,0.0,1.0,0.00025138260432378077,0.999748743718593
0.25,0.0003519356460532931,1.0,0.4117647058823529,0.5882352941176471,1.0,43.939808499999344,4,200,10.0,19883.0,7.0,0.0,1.0,0.0003519356460532931,0.9996482412060301
0.3,0.0003519356460532931,1.0,0.4117647058823529,0.5882352941176471,1.0,43.939808499999344,4,200,10.0,19883.0,7.0,0.0,1.0,0.0003519356460532931,0.9996482412060301
0.35,0.00045248868778280545,1.0,0.47368421052631576,0.5263157894736842,1.0,43.939808499999344,4,200,10.0,19881.0,9.0,0.0,1.0,0.00045248868778280545,0.9995477386934674
0.4,0.0007541478129713424,1.0,0.6,0.4,1.0,43.939808499999344,4,200,10.0,19875.0,15.0,0.0,1.0,0.0007541478129713424,0.9992462311557789
0.45,0.0008044243338360985,1.0,0.6153846153846154,0.38461538461538464,1.0,43.939808499999344,4,200,10.0,19874.0,16.0,0.0,1.0,0.0008044243338360985,0.9991959798994975
0.5,0.0008547008547008547,1.0,0.6296296296296297,0.37037037037037035,1.0,43.939808499999344,4,200,10.0,19873.0,17.0,0.0,1.0,0.0008547008547008547,0.999145728643216
0.55,0.0011060834590246355,1.0,0.6875,0.3125,1.0,43.939808499999344,4,200,10.0,19868.0,22.0,0.0,1.0,0.0011060834590246355,0.9988944723618091
0.6,0.0011060834590246355,1.0,0.6875,0.3125,1.0,43.939808499999344,4,200,10.0,19868.0,22.0,0.0,1.0,0.0011060834590246355,0.9988944723618091
0.65,0.001608848667672197,1.0,0.7619047619047619,0.23809523809523808,1.0,43.939808499999344,4,200,10.0,19858.0,32.0,0.0,1.0,0.001608848667672197,0.998391959798995
0.7,0.002161890397184515,1.0,0.8113207547169812,0.18867924528301888,1.0,43.939808499999344,4,200,10.0,19847.0,43.0,0.0,1.0,0.002161890397184515,0.9978391959798995
0.75,0.002212166918049271,1.0,0.8148148148148148,0.18518518518518517,1.0,43.939808499999344,4,200,10.0,19846.0,44.0,0.0,1.0,0.002212166918049271,0.9977889447236181
0.8,0.0030165912518853697,1.0,0.8571428571428571,0.14285714285714285,1.0,43.939808499999344,4,200,10.0,19830.0,60.0,0.0,1.0,0.0030165912518853697,0.9969849246231156
0.85,0.0037204625439919555,1.0,0.8809523809523809,0.11904761904761904,1.0,43.939808499999344,4,200,10.0,19816.0,74.0,0.0,1.0,0.0037204625439919555,0.9962814070351759
0.9,0.008547008547008548,1.0,0.9444444444444444,0.05555555555555555,1.0,43.939808499999344,4,200,10.0,19720.0,170.0,0.0,1.0,0.008547008547008548,0.9914572864321608
0.95,0.01649069884364002,1.0,0.9704142011834319,0.029585798816568046,1.0,43.939808499999344,4,200,10.0,19562.0,328.0,0.0,1.0,0.01649069884364002,0.9835175879396985
1.0,0.9982403217697335,1.0,0.9994966020639315,0.0005033979360684622,1.0,43.939808499999344,4,200,10.0,35.0,19855.0,0.0,1.0,0.9982403217697335,0.0022613065326633165
0.05,5.0276520864756156e-05,1.0,0.09090909090909091,0.9090909090909091,1.0,44.4630632000044,5,200,10.0,19889.0,1.0,0.0,1.0,5.0276520864756156e-05,0.9999497487437186
0.1,5.0276520864756156e-05,1.0,0.09090909090909091,0.9090909090909091,1.0,44.4630632000044,5,200,10.0,19889.0,1.0,0.0,1.0,5.0276520864756156e-05,0.9999497487437186
0.15,5.0276520864756156e-05,1.0,0.09090909090909091,0.9090909090909091,1.0,44.4630632000044,5,200,10.0,19889.0,1.0,0.0,1.0,5.0276520864756156e-05,0.9999497487437186
0.2,0.00015082956259426848,1.0,0.23076923076923078,0.7692307692307693,1.0,44.4630632000044,5,200,10.0,19887.0,3.0,0.0,1.0,0.00015082956259426848,0.9998492462311558
0.25,0.00015082956259426848,1.0,0.23076923076923078,0.7692307692307693,1.0,44.4630632000044,5,200,10.0,19887.0,3.0,0.0,1.0,0.00015082956259426848,0.9998492462311558
0.3,0.00015082956259426848,1.0,0.23076923076923078,0.7692307692307693,1.0,44.4630632000044,5,200,10.0,19887.0,3.0,0.0,1.0,0.00015082956259426848,0.9998492462311558
0.35,0.00020110608345902463,1.0,0.2857142857142857,0.7142857142857143,1.0,44.4630632000044,5,200,10.0,19886.0,4.0,0.0,1.0,0.00020110608345902463,0.9997989949748743
0.4,0.00045248868778280545,1.0,0.47368421052631576,0.5263157894736842,1.0,44.4630632000044,5,200,10.0,19881.0,9.0,0.0,1.0,0.00045248868778280545,0.9995477386934674
0.45,0.0005027652086475615,1.0,0.5,0.5,1.0,44.4630632000044,5,200,10.0,19880.0,10.0,0.0,1.0,0.0005027652086475615,0.9994974874371859
0.5,0.0009049773755656109,1.0,0.6428571428571429,0.35714285714285715,1.0,44.4630632000044,5,200,10.0,19872.0,18.0,0.0,1.0,0.0009049773755656109,0.9990954773869347
0.55,0.0012066365007541479,1.0,0.7058823529411765,0.29411764705882354,1.0,44.4630632000044,5,200,10.0,19866.0,24.0,0.0,1.0,0.0012066365007541479,0.9987939698492462
0.6,0.0012066365007541479,1.0,0.7058823529411765,0.29411764705882354,1.0,44.4630632000044,5,200,10.0,19866.0,24.0,0.0,1.0,0.0012066365007541479,0.9987939698492462
0.65,0.0012066365007541479,1.0,0.7058823529411765,0.29411764705882354,1.0,44.4630632000044,5,200,10.0,19866.0,24.0,0.0,1.0,0.0012066365007541479,0.9987939698492462
0.7,0.00130718954248366,1.0,0.7222222222222222,0.2777777777777778,1.0,44.4630632000044,5,200,10.0,19864.0,26.0,0.0,1.0,0.00130718954248366,0.9986934673366834
0.75,0.0018099547511312218,1.0,0.782608695652174,0.21739130434782608,1.0,44.4630632000044,5,200,10.0,19854.0,36.0,0.0,1.0,0.0018099547511312218,0.9981909547738693
0.8,0.0032679738562091504,1.0,0.8666666666666667,0.13333333333333333,1.0,44.4630632000044,5,200,10.0,19825.0,65.0,0.0,1.0,0.0032679738562091504,0.9967336683417085
0.85,0.007692307692307693,1.0,0.9386503067484663,0.06134969325153374,1.0,44.4630632000044,5,200,10.0,19737.0,153.0,0.0,1.0,0.007692307692307693,0.9923115577889448
0.9,0.008697838109602816,1.0,0.9453551912568307,0.0546448087431694,1.0,44.4630632000044,5,200,10.0,19717.0,173.0,0.0,1.0,0.008697838109602816,0.9913065326633166
0.95,0.040522875816993466,1.0,0.9877450980392157,0.012254901960784314,1.0,44.4630632000044,5,200,10.0,19084.0,806.0,0.0,1.0,0.040522875816993466,0.9594974874371859
1.0,0.36415284062342884,1.0,0.9986212601682063,0.0013787398317937406,1.0,44.4630632000044,5,200,10.0,12647.0,7243.0,0.0,1.0,0.36415284062342884,0.6360301507537689
0.05,5.0276520864756156e-05,1.0,0.09090909090909091,0.9090909090909091,1.0,45.58299240004271,6,200,10.0,19889.0,1.0,0.0,1.0,5.0276520864756156e-05,0.9999497487437186
0.1,5.0276520864756156e-05,1.0,0.09090909090909091,0.9090909090909091,1.0,45.58299240004271,6,200,10.0,19889.0,1.0,0.0,1.0,5.0276520864756156e-05,0.9999497487437186
0.15,5.0276520864756156e-05,1.0,0.09090909090909091,0.9090909090909091,1.0,45.58299240004271,6,200,10.0,19889.0,1.0,0.0,1.0,5.0276520864756156e-05,0.9999497487437186
